id,beer_name,brewery,style,venue,city,country,lat,lon,serving_type,checkin_date,year,month,year_month,weekday
139,Kilkenny,Guinness,Other,City Pub,Aachen,DE,50.775,6.083,,2026-01-15,2026,01,2026-01,Thursday
140,Triple Fruit Bomb,Moersleutel Craft Brewery,Tripel,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-15,2026,01,2026-01,Thursday
141,Ārpus X Celestial Beerworks QDH Peacharine X Citra X Rakau X Strata TIPA,Ārpus Brewing Co.,TIPA,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-15,2026,01,2026-01,Thursday
142,Maisel & Friends West Coast IPA,Brauerei Gebr. Maisel,IPA,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-15,2026,01,2026-01,Thursday
143,Hazy Sakura Daylight/Midnight,BrewDog Deutschland,NEIPA/Hazy IPA,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-15,2026,01,2026-01,Thursday
144,IPA Liberis 2+3,Brauhaus Riegele,IPA,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-14,2026,01,2026-01,Wednesday
145,Übersee Hopfen,Rügener Insel-Brauerei,Other,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-13,2026,01,2026-01,Tuesday
146,Tweet IPA,Rügener Insel-Brauerei,IPA,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-13,2026,01,2026-01,Tuesday
147,German Coast,Rügener Insel-Brauerei,Other,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-13,2026,01,2026-01,Tuesday
148,Maisel & Friends URBAN IPA,Brauerei Gebr. Maisel,IPA,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-13,2026,01,2026-01,Tuesday
149,Eifel Brune,Eifel Craft Beer,Dark/Dubbel,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-12,2026,01,2026-01,Monday
150,Tongerlo Bruin - Brune,Brouwerij Haacht Brasserie,Dark/Dubbel,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-11,2026,01,2026-01,Sunday
151,Eifel Blonde,Eifel Craft Beer,Blonde/Golden,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-11,2026,01,2026-01,Sunday
152,Tongerlo Blond - Blonde,Brouwerij Haacht Brasserie,Blonde/Golden,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-11,2026,01,2026-01,Sunday
153,SOUP,Garage Beer Co.,Other,Delirium Café Köln,Köln,DE,50.9394,6.9592,,2026-01-10,2026,01,2026-01,Saturday
154,Buzz,Bevog Brewery,Other,,,,,,,2026-01-10,2026,01,2026-01,Saturday
155,Must Kuld,Põhjala,Other,,,,,,,2026-01-10,2026,01,2026-01,Saturday
156,Funky Falcon,Two Chefs Brewing,Other,,,,,,,2026-01-10,2026,01,2026-01,Saturday
157,Route Six,LHG Brewpub,Other,Delirium Café Köln,Köln,DE,50.9394,6.9592,,2026-01-10,2026,01,2026-01,Saturday
158,Alexander,Brouwerij Rodenbach,Other,Delirium Café Köln,Köln,DE,50.9394,6.9592,,2026-01-10,2026,01,2026-01,Saturday
159,Cherry Chouffe,Brasserie d'Achouffe,Other,Delirium Café Köln,Köln,DE,50.9394,6.9592,,2026-01-10,2026,01,2026-01,Saturday
160,Organic Chocolate Stout,Samuel Smith,Stout/Porter,,,,,,,2026-01-10,2026,01,2026-01,Saturday
161,Orange Velvet,LERVIG,Other,Delirium Café Köln,Köln,DE,50.9394,6.9592,,2026-01-10,2026,01,2026-01,Saturday
162,LICHTENHAINER,Popihn,Other,Delirium Café Köln,Köln,DE,50.9394,6.9592,,2026-01-10,2026,01,2026-01,Saturday
163,ICAUNA,Popihn,Other,Delirium Café Köln,Köln,DE,50.9394,6.9592,,2026-01-10,2026,01,2026-01,Saturday
164,LASSI GOSE - Cassis / Citron / Fleur de Sel,Popihn,Sour/Wild,Delirium Café Köln,Köln,DE,50.9394,6.9592,,2026-01-10,2026,01,2026-01,Saturday
